Product_Collection,Vertical_Segment,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Instruction_Set,TDP,Max_Memory_Size,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,Cache_Size,Cache_Type
Core,Desktop,End of Life,2013,22.0,184.5,4,4.0,3100,64-bit,84.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,184.5,4,4.0,2800,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,182.0,4,4.0,2700,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,193.5,2,4.0,2900,64-bit,35.0,32.0,2.0,25.6,4.0,SmartCache
Core,Desktop,Launched,2013,22.0,193.5,4,4.0,2900,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,255.0,4,4.0,2700,64-bit,65.0,32.0,2.0,25.6,4.0,SmartCache
Core,Desktop,End of Life,2013,22.0,197.0,4,4.0,3200,64-bit,84.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,213.0,4,4.0,2300,64-bit,45.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,276.0,4,4.0,3000,64-bit,65.0,32.0,2.0,25.6,4.0,SmartCache
Core,Desktop,End of Life,2013,22.0,213.0,4,4.0,3100,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,242.5,4,4.0,3400,64-bit,84.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2013,22.0,117.0,2,4.0,3400,64-bit,54.0,32.0,2.0,25.6,3.0,SmartCache
Core,Desktop,End of Life,2013,22.0,117.0,2,4.0,2900,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Core,Desktop,End of Life,2013,22.0,153.0,2,4.0,3600,64-bit,54.0,32.0,2.0,25.6,4.0,SmartCache
Core,Desktop,End of Life,2013,22.0,138.0,2,4.0,3000,64-bit,35.0,32.0,2.0,25.6,4.0,SmartCache
Core,Desktop,Launched,2013,22.0,142.5,2,4.0,3500,64-bit,54.0,32.0,2.0,25.6,4.0,SmartCache
Core,Embedded,Launched,2013,22.0,303.0,4,8.0,2300,64-bit,45.0,32.0,2.0,25.6,8.0,SmartCache
Core,Embedded,Launched,2013,22.0,378.0,4,8.0,2400,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Embedded,Launched,2013,22.0,266.0,2,4.0,2700,64-bit,37.0,16.0,2.0,25.6,3.0,SmartCache
Core,Embedded,Launched,2013,22.0,266.0,2,4.0,1600,64-bit,25.0,16.0,2.0,25.6,3.0,SmartCache
Core,Embedded,Launched,2013,22.0,192.0,2,4.0,2700,64-bit,35.0,32.0,2.0,25.6,4.0,SmartCache
Core,Embedded,Launched,2013,22.0,225.0,2,4.0,1600,64-bit,25.0,16.0,2.0,25.6,3.0,SmartCache
Core,Embedded,Launched,2013,22.0,225.0,2,4.0,2400,64-bit,37.0,16.0,2.0,25.6,3.0,SmartCache
Core,Embedded,Launched,2013,22.0,122.0,2,4.0,2400,64-bit,35.0,32.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,122.0,4,8.0,3000,64-bit,57.0,32.0,2.0,25.6,8.0,SmartCache
Core,Mobile,Launched,2013,22.0,426.0,2,4.0,2800,64-bit,28.0,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,426.0,2,4.0,1500,64-bit,15.0,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,393.0,2,4.0,1800,64-bit,15.0,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,426.0,2,4.0,1700,64-bit,15.0,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,393.0,2,4.0,1700,64-bit,11.5,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,393.0,2,4.0,2100,64-bit,15.0,16.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,346.0,2,4.0,2900,64-bit,37.0,32.0,2.0,25.6,4.0,SmartCache
Core,Mobile,Launched,2013,22.0,434.0,4,8.0,2000,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,378.0,4,8.0,2200,64-bit,37.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,378.0,4,8.0,2200,64-bit,37.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,378.0,4,8.0,2400,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,378.0,4,8.0,2400,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,434.0,4,8.0,2300,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,380.0,4,8.0,2700,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,623.0,4,8.0,2600,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,623.0,4,8.0,2400,64-bit,47.0,32.0,2.0,25.6,6.0,SmartCache
Core,Mobile,Launched,2013,22.0,570.0,4,8.0,2800,64-bit,47.0,32.0,2.0,25.6,8.0,SmartCache
Core,Mobile,Launched,2013,22.0,315.0,2,4.0,2600,64-bit,28.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,315.0,2,4.0,2400,64-bit,28.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,315.0,2,4.0,1300,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1500,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1600,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1400,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1600,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,225.0,2,4.0,2500,64-bit,37.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,225.0,2,4.0,2800,64-bit,47.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,315.0,2,4.0,1400,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,266.0,2,4.0,2800,64-bit,37.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,266.0,2,4.0,1600,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1600,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1900,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,226.0,2,4.0,2600,64-bit,37.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1500,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1500,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1300,64-bit,11.5,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1700,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,275.0,2,4.0,1700,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,225.0,2,4.0,2400,64-bit,37.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,315.0,2,4.0,2000,64-bit,28.0,16.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,225.0,2,4.0,2500,64-bit,37.0,32.0,2.0,25.6,3.0,SmartCache
Core,Mobile,Launched,2013,22.0,281.0,2,4.0,1800,64-bit,15.0,16.0,2.0,25.6,3.0,SmartCache
Legacy,Desktop,End of Life,2013,22.0,117.0,2,4.0,3200,64-bit,55.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Desktop,End of Life,2013,22.0,139.0,2,4.0,3400,64-bit,55.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Desktop,Launched,2013,22.0,117.0,2,4.0,3500,64-bit,55.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Desktop,Launched,2013,22.0,117.0,2,4.0,3000,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Desktop,End of Life,2013,22.0,184.5,4,4.0,3100,64-bit,77.0,32.0,2.0,25.6,6.0,SmartCache
Legacy,Desktop,End of Life,2013,22.0,184.5,4,4.0,2800,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Legacy,Desktop,Launched,2013,32.0,37.0,1,2.0,2000,64-bit,35.0,32.0,2.0,17.0,1.5,SmartCache
Legacy,Embedded,Launched,2013,22.0,293.0,2,4.0,2500,64-bit,25.0,32.0,2.0,21.3,4.0,L3
Legacy,Embedded,Launched,2013,22.0,95.0,1,1.0,1500,64-bit,17.0,16.0,2.0,25.6,1.0,SmartCache
Legacy,Mobile,Launched,2013,32.0,95.0,2,4.0,2300,64-bit,35.0,16.0,2.0,21.3,3.0,SmartCache
Legacy,Mobile,Launched,2013,32.0,95.0,2,4.0,1500,64-bit,17.0,16.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,95.0,2,4.0,2600,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,1900,64-bit,17.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,1400,64-bit,13.0,32.0,2.0,25.6,3.0,Normal
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,2600,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,2600,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,1800,64-bit,17.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,225.0,2,4.0,1500,64-bit,13.0,32.0,2.0,25.6,3.0,Normal
Legacy,Mobile,Launched,2013,22.0,226.0,2,4.0,2700,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,267.5,2,4.0,2900,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,267.5,2,4.0,1900,64-bit,17.0,32.0,2.0,25.6,3.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,267.5,2,4.0,1500,64-bit,13.0,32.0,2.0,25.6,3.0,Normal
Legacy,Mobile,Launched,2013,22.0,346.0,2,4.0,2000,64-bit,17.0,32.0,2.0,25.6,4.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,346.0,2,4.0,3000,64-bit,35.0,32.0,2.0,25.6,4.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,346.0,2,4.0,2100,64-bit,17.0,32.0,2.0,25.6,4.0,SmartCache
Legacy,Mobile,Launched,2013,22.0,346.0,2,4.0,1500,64-bit,13.0,32.0,2.0,25.6,4.0,Normal
Pentium,Desktop,Launched,2013,22.0,94.0,4,4.0,2410,64-bit,10.0,8.0,2.0,25.6,2.0,L2
Pentium,Desktop,Launched,2013,22.0,94.0,4,4.0,2410,64-bit,10.0,8.0,2.0,21.3,2.0,L2
Pentium,Desktop,End of Life,2013,22.0,64.0,2,2.0,2800,64-bit,55.0,32.0,2.0,21.0,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,64.0,2,2.0,2900,64-bit,55.0,32.0,2.0,21.0,3.0,SmartCache
Pentium,Desktop,Launched,2013,22.0,64.0,2,2.0,3000,64-bit,55.0,32.0,2.0,21.0,3.0,SmartCache
Pentium,Desktop,Launched,2013,22.0,64.0,2,2.0,2500,64-bit,35.0,32.0,2.0,21.0,3.0,SmartCache
Pentium,Desktop,Launched,2013,22.0,64.0,2,2.0,2600,64-bit,35.0,32.0,2.0,21.0,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,64.0,2,2.0,2700,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Desktop,Launched,2013,22.0,78.5,2,2.0,3200,64-bit,55.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,93.0,2,2.0,3300,64-bit,55.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,59.0,2,2.0,3000,64-bit,53.0,32.0,2.0,21.3,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,64.0,2,2.0,2600,64-bit,35.0,32.0,2.0,21.3,3.0,SmartCache
Pentium,Desktop,Launched,2013,22.0,78.5,2,2.0,3200,64-bit,53.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,75.0,2,2.0,2700,64-bit,35.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Desktop,End of Life,2013,22.0,89.5,2,2.0,3300,64-bit,53.0,32.0,2.0,25.6,3.0,SmartCache
Pentium,Embedded,Launched,2013,22.0,70.0,2,2.0,2300,64-bit,35.0,32.0,2.0,21.3,3.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,70.0,4,4.0,2000,64-bit,7.5,8.0,2.0,25.6,2.0,Normal
Pentium,Mobile,Launched,2013,22.0,161.0,4,4.0,2170,64-bit,7.5,8.0,2.0,25.6,2.0,Normal
Pentium,Mobile,Launched,2013,22.0,161.0,2,2.0,1200,64-bit,11.5,16.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,161.0,2,2.0,1200,64-bit,11.5,16.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,161.0,2,2.0,1700,64-bit,15.0,16.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,161.0,2,2.0,1700,64-bit,15.0,16.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,134.0,2,2.0,2300,64-bit,37.0,32.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,134.0,2,2.0,2500,64-bit,35.0,32.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,134.0,2,2.0,1900,64-bit,17.0,32.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,Launched,2013,22.0,134.0,2,2.0,1100,64-bit,10.0,32.0,2.0,25.6,2.0,SmartCache
Pentium,Mobile,End of Life,2013,22.0,134.0,2,2.0,2100,64-bit,35.0,32.0,2.0,25.6,1.0,SmartCache
Quark,Embedded,Launched,2013,32.0,9.62,1,1.0,400,32-bit,2.2,2.0,1.0,1.6,0.015625,Normal
Xeon,Embedded,Launched,2013,22.0,1750.0,10,20.0,2400,64-bit,95.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Embedded,Launched,2013,22.0,1479.0,10,20.0,1900,64-bit,70.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Embedded,Launched,2013,22.0,1216.0,8,16.0,1900,64-bit,70.0,768.0,4.0,51.2,20.0,SmartCache
Xeon,Embedded,Launched,2013,22.0,632.0,6,12.0,2000,64-bit,50.0,768.0,4.0,42.6,15.0,SmartCache
Xeon,Embedded,Launched,2013,22.0,377.0,4,8.0,2300,64-bit,45.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Embedded,Launched,2013,22.0,389.0,4,8.0,1800,64-bit,25.0,32.0,2.0,25.6,8.0,L3
Xeon,Embedded,Launched,2013,22.0,545.0,4,8.0,2500,64-bit,40.0,32.0,2.0,25.6,8.0,L3
Xeon,Server,End of Life,2013,22.0,545.0,57,114.0,1100,64-bit,300.0,6.0,12.0,240.0,28.5,L2
Xeon,Server,End of Life,2013,22.0,545.0,57,114.0,1100,64-bit,300.0,6.0,12.0,240.0,28.5,L2
Xeon,Server,Launched,2013,22.0,198.0,4,4.0,3100,64-bit,80.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,Launched,2013,22.0,2616.0,12,24.0,2700,64-bit,130.0,768.0,4.0,59.7,30.0,SmartCache
Xeon,Server,Launched,2013,22.0,2338.0,12,24.0,2400,64-bit,115.0,768.0,4.0,59.7,30.0,SmartCache
Xeon,Server,Launched,2013,22.0,2059.0,10,20.0,3000,64-bit,130.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,1725.0,10,20.0,2800,64-bit,115.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,2110.0,8,16.0,3400,64-bit,150.0,256.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,1554.0,10,20.0,2500,64-bit,115.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,2057.0,8,16.0,3300,64-bit,130.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,1391.0,10,20.0,2200,64-bit,95.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,1219.0,10,20.0,1700,64-bit,70.0,768.0,4.0,51.2,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,1168.5,8,16.0,2600,64-bit,95.0,768.0,4.0,59.7,20.0,SmartCache
Xeon,Server,Launched,2013,22.0,1552.0,6,12.0,3500,64-bit,130.0,768.0,4.0,59.7,25.0,SmartCache
Xeon,Server,Launched,2013,22.0,887.0,8,16.0,2000,64-bit,95.0,768.0,4.0,51.2,20.0,SmartCache
Xeon,Server,Launched,2013,22.0,996.0,4,8.0,3500,64-bit,130.0,768.0,4.0,59.7,15.0,SmartCache
Xeon,Server,Launched,2013,22.0,612.0,6,12.0,2400,64-bit,60.0,768.0,4.0,51.2,15.0,SmartCache
Xeon,Server,Launched,2013,22.0,614.0,6,12.0,2600,64-bit,80.0,768.0,4.0,51.2,15.0,SmartCache
Xeon,Server,Launched,2013,22.0,408.0,6,12.0,2100,64-bit,80.0,768.0,4.0,51.2,15.0,SmartCache
Xeon,Server,Launched,2013,22.0,1081.5,6,12.0,3700,64-bit,130.0,256.0,4.0,59.7,15.0,SmartCache
Xeon,Server,Launched,2013,22.0,583.0,6,12.0,3500,64-bit,130.0,256.0,4.0,59.7,12.0,SmartCache
Xeon,Server,Launched,2013,22.0,296.5,4,4.0,2500,64-bit,80.0,768.0,4.0,42.6,10.0,SmartCache
Xeon,Server,Launched,2013,22.0,294.0,4,8.0,3700,64-bit,130.0,256.0,4.0,59.7,10.0,SmartCache
Xeon,Server,Launched,2013,22.0,202.0,4,4.0,1800,64-bit,80.0,768.0,4.0,42.6,10.0,SmartCache
Xeon,Server,Launched,2013,22.0,202.0,2,4.0,1100,64-bit,13.0,32.0,2.0,25.6,4.0,SmartCache
Xeon,Server,Launched,2013,22.0,218.5,4,4.0,3200,64-bit,84.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,245.0,4,8.0,3300,64-bit,80.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,Launched,2013,22.0,250.0,4,8.0,1800,64-bit,25.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,267.5,4,8.0,3400,64-bit,80.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,281.5,4,8.0,3400,64-bit,84.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,344.5,4,8.0,3500,64-bit,84.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,Launched,2013,22.0,294.0,4,8.0,2500,64-bit,45.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,333.5,4,8.0,3500,64-bit,80.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,612.0,4,8.0,3600,64-bit,82.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,662.0,4,8.0,3600,64-bit,84.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,662.0,4,8.0,3100,64-bit,65.0,32.0,2.0,25.6,8.0,SmartCache
Xeon,Server,End of Life,2013,22.0,662.0,60,120.0,1050,64-bit,245.0,8.0,16.0,352.0,30.0,L2
Xeon,Server,End of Life,2013,22.0,662.0,61,122.0,1240,64-bit,300.0,16.0,16.0,352.0,30.5,L2
Xeon,Server,End of Life,2013,22.0,662.0,61,122.0,1240,64-bit,300.0,16.0,16.0,352.0,30.5,L2
Atom,Embedded,Launched,2014,22.0,31.0,2,2.0,1330,64-bit,3.0,8.0,1.0,5.85,1.0,L2
Atom,Embedded,Launched,2014,22.0,60.0,2,2.0,1250,64-bit,6.0,16.0,1.0,5.85,1.0,Normal
Atom,Embedded,Launched,2014,22.0,98.0,4,4.0,1250,64-bit,9.5,32.0,2.0,25.6,2.0,Normal
Atom,Mobile,Launched,2014,22.0,98.0,2,2.0,2100,64-bit,35.0,4.0,2.0,8.5,1.0,SmartCache
Atom,Mobile,Launched,2014,22.0,98.0,2,2.0,2100,64-bit,35.0,4.0,2.0,8.5,1.0,SmartCache
Atom,Mobile,Launched,2014,22.0,98.0,4,4.0,2100,64-bit,35.0,4.0,2.0,12.8,2.0,Normal
Atom,Mobile,Launched,2014,22.0,98.0,4,4.0,2100,64-bit,35.0,4.0,2.0,12.8,2.0,Normal
Atom,Mobile,Launched,2014,22.0,98.0,4,4.0,2100,64-bit,35.0,4.0,2.0,12.8,2.0,Normal
Atom,Mobile,Launched,2014,22.0,98.0,4,4.0,2100,64-bit,35.0,4.0,2.0,12.8,2.0,Normal
Atom,Mobile,Launched,2014,22.0,21.0,4,4.0,1330,64-bit,35.0,1.0,1.0,5.3,2.0,L2
Atom,Mobile,Launched,2014,22.0,21.0,4,4.0,1330,64-bit,35.0,2.0,1.0,10.6,2.0,L2
Atom,Mobile,Launched,2014,22.0,18.0,4,4.0,1330,64-bit,35.0,2.0,1.0,10.6,2.0,L2
Atom,Mobile,Launched,2014,22.0,17.0,4,4.0,1330,64-bit,35.0,1.0,1.0,5.3,2.0,L2
Atom,Mobile,Launched,2014,22.0,20.0,4,4.0,1330,64-bit,35.0,2.0,1.0,10.6,2.0,L2
Atom,Mobile,Launched,2014,22.0,20.0,4,4.0,1330,64-bit,35.0,1.0,1.0,5.3,2.0,L2
Atom,Mobile,Launched,2014,22.0,30.0,4,4.0,1330,64-bit,35.0,4.0,2.0,17.1,2.0,L2
Atom,Mobile,Launched,2014,22.0,30.0,4,4.0,1330,64-bit,35.0,2.0,1.0,10.6,2.0,L2
Atom,Mobile,Launched,2014,22.0,35.0,4,4.0,1460,64-bit,35.0,4.0,2.0,17.1,2.0,L2
Atom,Mobile,Launched,2014,22.0,35.0,4,4.0,1490,64-bit,35.0,2.0,1.0,10.6,2.0,L2
Atom,Mobile,Launched,2014,22.0,35.0,4,4.0,1490,64-bit,35.0,4.0,2.0,21.3,2.0,L2
Atom,Mobile,Launched,2014,22.0,40.0,4,4.0,1590,64-bit,35.0,4.0,2.0,17.1,2.0,L2
Celeron,Desktop,Launched,2014,22.0,42.0,2,2.0,2700,64-bit,53.0,32.0,2.0,21.3,2.0,SmartCache
Celeron,Desktop,End of Life,2014,22.0,42.0,2,2.0,2400,64-bit,35.0,32.0,2.0,21.3,2.0,SmartCache
Celeron,Desktop,End of Life,2014,22.0,52.0,2,2.0,2800,64-bit,53.0,32.0,2.0,21.3,2.0,SmartCache
Celeron,Desktop,End of Life,2014,22.0,42.0,2,2.0,2800,64-bit,53.0,32.0,2.0,21.3,2.0,Normal
Celeron,Desktop,End of Life,2014,22.0,42.0,2,2.0,2500,64-bit,35.0,32.0,2.0,21.3,2.0,Normal
Celeron,Desktop,End of Life,2014,22.0,52.0,2,2.0,2900,64-bit,53.0,32.0,2.0,21.3,2.0,Normal
Celeron,Embedded,Launched,2014,22.0,42.0,2,2.0,2200,64-bit,35.0,32.0,2.0,21.3,2.0,SmartCache
Celeron,Embedded,Launched,2014,22.0,86.0,2,2.0,2200,64-bit,37.0,32.0,2.0,25.6,2.0,SmartCache
Celeron,Embedded,Launched,2014,22.0,86.0,2,2.0,1500,64-bit,25.0,32.0,2.0,25.6,2.0,SmartCache
Celeron,Mobile,Launched,2014,22.0,107.0,2,2.0,1580,64-bit,4.3,4.0,1.0,5.85,1.0,Normal
Celeron,Mobile,Launched,2014,22.0,107.0,2,2.0,1580,64-bit,4.5,4.0,1.0,10.66,1.0,L2
Celeron,Mobile,Launched,2014,22.0,107.0,2,2.0,2160,64-bit,7.5,8.0,2.0,25.6,1.0,Normal
Celeron,Mobile,Launched,2014,22.0,107.0,2,2.0,2160,64-bit,7.5,8.0,2.0,21.32,1.0,L2
Celeron,Mobile,Launched,2014,22.0,107.0,4,4.0,1830,64-bit,7.5,8.0,2.0,25.6,2.0,Normal
Celeron,Mobile,Launched,2014,22.0,107.0,4,4.0,1830,64-bit,7.5,8.0,2.0,21.32,2.0,L2
Celeron,Mobile,Launched,2014,22.0,75.0,2,2.0,2200,64-bit,37.0,32.0,2.0,25.6,2.0,SmartCache
Core,Desktop,Launched,2014,22.0,392.5,6,12.0,3300,64-bit,140.0,64.0,4.0,68.0,15.0,SmartCache
Core,Desktop,Launched,2014,22.0,588.5,6,12.0,3500,64-bit,140.0,64.0,4.0,68.0,15.0,SmartCache
Core,Desktop,Launched,2014,22.0,1029.0,8,16.0,3000,64-bit,140.0,64.0,4.0,68.0,20.0,SmartCache
Core,Desktop,End of Life,2014,22.0,303.0,4,8.0,2700,64-bit,45.0,32.0,2.0,25.6,8.0,SmartCache
Core,Desktop,Launched,2014,22.0,307.5,4,8.0,3200,64-bit,65.0,32.0,2.0,25.6,8.0,SmartCache
Core,Desktop,End of Life,2014,22.0,307.5,4,8.0,3600,64-bit,84.0,32.0,2.0,25.6,8.0,SmartCache
Core,Desktop,End of Life,2014,22.0,303.0,4,8.0,2200,64-bit,35.0,32.0,2.0,25.6,8.0,SmartCache
Core,Desktop,End of Life,2014,22.0,344.5,4,8.0,4000,64-bit,88.0,32.0,2.0,25.6,8.0,SmartCache
Core,Desktop,End of Life,2014,22.0,184.5,4,4.0,3200,64-bit,84.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2014,22.0,182.0,4,4.0,2900,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2014,22.0,182.0,4,4.0,1900,64-bit,35.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,Launched,2014,22.0,192.0,4,4.0,2000,64-bit,35.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,Launched,2014,22.0,197.0,4,4.0,3000,64-bit,65.0,32.0,2.0,25.6,6.0,SmartCache
Core,Desktop,End of Life,2014,22.0,197.0,4,4.0,3300,64-bit,84.0,32.0,2.0,25.6,6.0,SmartCache
